"ip","Reachable","SSH Enabled","Telnet Enabled","username","password","secret","device_type"
"10.21.2.1","No","NA","NA","NA","NA","NA","NA"
"10.21.2.3","Yes","No","Yes","admin","cisco","Not Required","cisco_ios_telnet"
"10.21.2.4","Yes","No","Yes","admin","cisco","Not Required","cisco_ios_telnet"
"10.21.2.5","Yes","No","Yes","admin","cisco","Not Required","cisco_ios_telnet"
"10.21.2.6","Yes","No","Yes","admin","cisco","Not Required","cisco_ios_telnet"
"10.21.2.7","Yes","No","Yes","admin","cisco","Not Required","cisco_ios_telnet"
"10.21.2.8","Yes","Yes","No","admin","cisco","Not Required","cisco_ios"
"10.21.2.9","Yes","Yes","No","admin","cisco","Not Required","cisco_ios"
"10.21.2.10","Yes","Yes","No","admin","cisco","Not Required","cisco_ios"
"10.21.2.11","Yes","Yes","No","admin","cisco","Not Required","cisco_ios"
"10.21.2.12","No","NA","NA","NA","NA","NA","NA"
"10.21.2.13","No","NA","NA","NA","NA","NA","NA"
"10.21.2.14","No","NA","NA","NA","NA","NA","NA"
